trade_id,day,asset,trade_open,trade_close,duration,session,market_condition_daily,position,bias,daily_candle,candle_range_pips,profile,entry,confirmation,fvg_level,stop_loss_pips,take_profit_pips,risk_to_reward,risk_usd,profit_loss,trail_stop,outcome,balance,setup_alignment,pre_emotion,post_emotion,retake_trade,metal_state,,,,,,,,,,,,,,,
97,Tuesday,cable,26-08-25 14:06,26-08-25 14:13,0:06:26,NY AM,consolidation,Buy,olhc,bearish indecision,58.7,London reversal,ob,eq,,12.3,36,2.9,24.60,-24.60,no,Loss,2918.75,partial,confidence,confidence,no,focused,,,,,,,,,,,,,,,
98,Tuesday,dxy,26-08-25 14:05,26-08-25 17:24,3:19:41,NY AM,consolidation,Sell,ohlc,bearish directional,47.2,London reversal,ob,eq,,121,26,0.2,12.32,1.73,yes,Win,2920.48,a_plus,confidence,confidence,yes,focused,,,,,,,,,,,,,,,
99,Tuesday,cable,26-08-25 14:39,26-08-25 18:01,3:21:40,NY AM,consolidation,Buy,olhc,bearish indecision,58.7,London reversal,brkr,eq,,10,16.2,1.6,10.00,-10.00,no,Loss,2910.48,a_plus,confidence,confidence,yes,focused,,,,,,,,,,,,,,,
100,Thursday,dxy,28-08-25 14:01,28-08-25 18:08,4:06:58,NY AM,consolidation,Sell,ohlc,bearish directional,48.8,London reversal,ob,eq,,84,293,3.5,8.36,2.79,yes,Win,2913.27,a_plus,confidence,confidence,yes,focused,,,,,,,,,,,,,,,
101,Thursday,cable,28-08-25 14:43,28-08-25 14:49,0:06:42,NY AM,consolidation,Buy,olhc,bullish directional,47.7,London reversal,brkr,fvg,1,10,23,2.3,20.00,-20.00,no,Loss,2893.27,a_plus,confidence,confidence,yes,focused,,,,,,,,,,,,,,,
102,Friday,cable,29-08-25 14:52,29-08-25 14:56,0:04:29,NY AM,consolidation,Buy,olhc,bearish indecision,70.5,London reversal,brkr,eq,,10,21.4,2.1,10.00,21.50,no,Win,2914.77,a_plus,confidence,doubt,yes,focused,,,,,,,,,,,,,,,
103,Tuesday,cable,02-09-25 15:13,02-09-25 17:29,2:15:59,NY AM,consolidation,Buy,olhc,bearish directional,208.9,London reversal,brkr,fvg,3,14.1,51.9,3.7,15.00,6.50,no,Win,2921.27,a_plus,confidence,doubt,no,focused,,,,,,,,,,,,,,,
104,Wednesday,dxy,03-09-25 13:58,03-09-25 14:29,0:31:25,NY AM,consolidation,Sell,ohlc,bearish reversal,60.5,London reversal,brkr,eq,,9.9,24.5,2.5,15.00,36.60,yes,Win,2957.87,a_plus,confidence,confidence,yes,focused,,,,,,,,,,,,,,,
105,Thursday,cable,04-09-25 13:42,04-09-25 14:00,0:17:12,NY AM,consolidation,Buy,olhc,,,London reversal,ob,eq,,9.6,22.3,2.3,19.20,-19.20,no,Loss,2938.67,a_plus,confidence,confidence,yes,focused,,,,,,,,,,,,,,,
106,Thursday,dxy,04-09-25 13:54,04-09-25 14:00,0:05:42,NY AM,consolidation,Sell,ohlc,,,London reversal,ob,eq,,8.4,24.9,3,16.80,-16.80,no,Loss,2921.87,a_plus,confidence,confidence,yes,focused,,,,,,,,,,,,,,,
