Trade_open,Trade_close,Session,Position,Bias,Profile,Entry,Confirmation,Fvg_level,Stop_loss_pips,Take_profit_pips,Risk_to_reward,Risk_usd,Profit_loss,Trail_stop,Outcome,Balance,Duration,Duration_binned,Time_window,Day,Month,Year,Stop_loss_binned,Take_profit_binned,Risk_usd_binned,Risk_to_reward_binned
2024-05-14 13:10:00,2024-05-15 12:30:00,ny am,buy,olhc,london reversal,brkr,eq,,17.0,61.7,3.62941,30.0,132.3,no,win,3274.46,0 days 23:20:00,above_2_hrs,12:00-16:00,Tuesday,May,2024,above_12_pips,above_35_pips,above_$25,above_3.2_rr
2024-05-20 13:45:00,2024-05-20 14:30:00,ny am,buy,olhc,london reversal,brkr,eq,,3.4,8.4,2.47059,3.06,7.65,no,win,3282.11,0 days 00:45:00,below_2_hrs,12:00-16:00,Monday,May,2024,below_10_pips,below_21_pips,below_$20,2_to_2.6_rr
2024-05-28 14:35:59,2024-05-29 13:35:26,ny am,sell,ohlc,london reversal,brkr,fvg,low,12.0,43.5,3.625,21.6,78.3,no,win,3360.41,0 days 22:59:27,above_2_hrs,12:00-16:00,Tuesday,May,2024,10_to_12_pips,above_35_pips,$20_to_$25,above_3.2_rr
2024-05-30 13:21:52,2024-05-30 13:55:24,ny am,sell,ohlc,london expansion,brkr,eq,,16.8,45.2,2.69048,30.24,-30.42,no,loss,3329.99,0 days 00:33:32,below_2_hrs,12:00-16:00,Thursday,May,2024,above_12_pips,above_35_pips,above_$25,2.6_to_3.2_rr
2024-06-04 13:00:38,2024-06-05 14:00:00,ny am,buy,olhc,london reversal,brkr,fvg,low,16.7,17.1,1.02395,30.06,30.78,no,win,3360.77,0 days 00:59:22,below_2_hrs,12:00-16:00,Tuesday,June,2024,above_12_pips,below_21_pips,above_$25,0_to_2_rr
2024-06-05 12:22:02,2024-06-05 14:01:01,ny am,buy,olhc,london reversal,brkr,fvg,low,9.4,17.9,1.90426,26.64,-26.64,no,loss,3334.13,0 days 01:38:59,below_2_hrs,12:00-16:00,Wednesday,June,2024,below_10_pips,below_21_pips,above_$25,0_to_2_rr
2024-06-06 13:10:26,2024-06-06 13:17:53,ny am,buy,olhc,london reversal,brkr,fvg,medium,8.0,16.3,2.0375,14.4,-14.4,no,loss,3319.73,0 days 00:07:27,below_2_hrs,12:00-16:00,Thursday,June,2024,below_10_pips,below_21_pips,below_$20,2_to_2.6_rr
2024-06-07 14:49:11,2024-06-07 16:06:54,ny am,buy,olhc,ny reversal,ob,fvg,medium,8.4,3.2,0.380952,15.12,5.76,yes,win,3325.49,0 days 01:17:43,below_2_hrs,12:00-16:00,Friday,June,2024,below_10_pips,below_21_pips,below_$20,0_to_2_rr
2024-06-11 12:15:09,2024-06-11 12:25:13,ny am,buy,olhc,london reversal,brkr,fvg,medium,7.6,18.6,2.44737,13.68,-13.68,no,loss,3311.81,0 days 00:10:04,below_2_hrs,12:00-16:00,Tuesday,June,2024,below_10_pips,below_21_pips,below_$20,2_to_2.6_rr
2024-06-11 12:26:54,2024-06-11 13:30:45,ny am,buy,olhc,london reversal,ob,eq,,8.6,25.3,2.94186,15.48,-15.48,no,loss,3296.33,0 days 01:03:51,below_2_hrs,12:00-16:00,Tuesday,June,2024,below_10_pips,21_to_35_pips,below_$20,2.6_to_3.2_rr
2024-06-13 14:25:57,2024-06-13 14:33:01,ny am,buy,olhc,london reversal,ob,fvg,medium,8.4,18.7,2.22619,15.12,-15.12,no,loss,3281.21,0 days 00:07:04,below_2_hrs,12:00-16:00,Thursday,June,2024,below_10_pips,below_21_pips,below_$20,2_to_2.6_rr
2024-06-19 15:19:06,2024-06-20 08:14:04,ny am,sell,ohlc,london reversal,brkr,fvg,low,12.0,23.0,1.91667,18.04,34.57,no,win,3315.78,0 days 16:54:58,above_2_hrs,12:00-16:00,Wednesday,June,2024,10_to_12_pips,21_to_35_pips,below_$20,0_to_2_rr
2024-06-20 19:06:20,2024-06-20 20:23:53,ny pm,buy,olhc,ny manipulation,ob,fvg,low,9.0,20.0,2.22222,76.9,-76.9,no,loss,3238.88,0 days 01:17:33,below_2_hrs,16:00-20:00,Thursday,June,2024,below_10_pips,below_21_pips,above_$25,2_to_2.6_rr
